interaction_id,client_id,contact_name,employee_id,employee_name,interaction_type,interaction_date,interaction_duration_minutes,meeting_channel,interaction_outcome,followup_required,next_followup_date,response_time_hours
INT0214,CLT012,Nicole Carson,EMP049,Jason Tran,Demo,08-10-2025,26,Teams,Negative,No,,1.1
INT0215,CLT037,Jonathan Vazquez,EMP051,Ryan Hall,Meeting,11-01-2026,87,In-person,Negative,Yes,18-01-2026,16.7
INT0216,CLT037,Heather Randall,EMP014,Jenna Velazquez,Meeting,10-12-2025,52,Zoom,Positive,No,,25.6
INT0217,CLT021,Ashley Bennett,EMP022,Lucas Franklin,Demo,20-09-2025,67,Zoom,Neutral,Yes,27-09-2025,15.9
INT0218,CLT005,Tamara Ball,EMP045,William Jones,Call,29-10-2025,102,Zoom,Positive,No,,28.4
INT0219,CLT027,Emily Wade,EMP022,Lucas Franklin,Email,28-09-2025,58,In-person,Negative,No,,27.6
INT0220,CLT031,Tonya Walker,EMP074,Melissa Robles,Meeting,26-01-2026,67,Zoom,Positive,Yes,02-02-2026,21.9
INT0221,CLT021,Ashley Maldonado,EMP034,Karen Buckley,Call,29-08-2025,53,Teams,Neutral,Yes,05-09-2025,12.4
INT0222,CLT005,Jennifer Carter,EMP071,Paul Bailey,Demo,20-04-2026,86,Phone,Negative,Yes,27-04-2026,3.2
INT0223,CLT011,Jerry Michael,EMP078,Tara Cordova,Meeting,05-01-2026,16,Zoom,Neutral,No,,15.6
INT0224,CLT013,John Hall,EMP053,Jeremy Howard,Demo,23-06-2025,48,Teams,Positive,No,,4.5
INT0225,CLT037,Larry Romero,EMP071,Paul Bailey,Meeting,21-04-2026,16,In-person,Positive,No,,31.4
INT0226,CLT019,Gregory Willis,EMP085,Kim Smith,Meeting,27-08-2025,22,Zoom,Positive,No,,13.1
INT0227,CLT019,Jennifer Anderson,EMP011,Joshua Sanchez DVM,Call,03-10-2025,49,Phone,Neutral,No,,35.7
INT0228,CLT017,Daniel Marshall,EMP012,James Gregory,Meeting,30-07-2025,57,Phone,Neutral,No,,14.2
INT0229,CLT003,Amanda Thomas,EMP034,Karen Buckley,Email,08-10-2025,43,Teams,Neutral,No,,41.1
INT0230,CLT010,Barbara Rodriguez,EMP097,Kenneth Hobbs,Call,15-06-2025,95,In-person,Negative,Yes,22-06-2025,30.4
INT0231,CLT038,Daisy Knox,EMP030,John Valencia,Email,08-11-2025,114,Phone,Negative,Yes,15-11-2025,49.8
INT0232,CLT031,Christy Monroe,EMP074,Melissa Robles,Email,06-09-2025,48,Zoom,Neutral,Yes,13-09-2025,65.1
INT0233,CLT003,Dustin Carter,EMP065,Brent Allen,Call,14-07-2025,106,Phone,Positive,Yes,21-07-2025,68.4
INT0234,CLT011,Juan Sanders,EMP028,Justin Lee,Meeting,19-12-2025,15,Phone,Positive,Yes,26-12-2025,71.2
INT0235,CLT028,Vanessa Everett,EMP026,Jennifer Gonzales,Social Media,25-02-2026,43,In-person,Negative,Yes,04-03-2026,65.9
INT0236,CLT005,Curtis Jackson,EMP012,James Gregory,Social Media,31-03-2026,60,In-person,Neutral,No,,37.9
INT0237,CLT001,Brian Sanchez DDS,EMP090,Monica Bailey,Call,03-01-2026,63,Teams,Positive,No,,41.2
INT0238,CLT038,Jonathan Fields,EMP098,Chelsea Munoz,Call,30-01-2026,82,Zoom,Neutral,Yes,06-02-2026,62.6
INT0239,CLT023,Ryan Hamilton,EMP053,Jeremy Howard,Email,02-09-2025,93,Phone,Negative,No,,44.2
INT0240,CLT003,Lisa Conner,EMP023,Jordan Olson,Email,15-01-2026,28,Phone,Positive,No,,29.1
INT0241,CLT022,Howard Garrison,EMP089,Steven Morales,Call,26-01-2026,105,Phone,Neutral,Yes,02-02-2026,64.7
INT0242,CLT002,Alexis Dixon,EMP044,Scott Williams,Demo,03-03-2026,45,Phone,Negative,No,,49.6
INT0243,CLT015,Shari Wilkinson,EMP018,Micheal Oconnor,Email,27-03-2026,109,In-person,Neutral,No,,52.7
INT0244,CLT039,Mason Garcia,EMP083,Dr. Mark Harris DVM,Meeting,30-08-2025,66,Teams,Neutral,Yes,06-09-2025,53.6
INT0245,CLT034,Eric Johnson,EMP048,Sherri Thompson,Social Media,25-05-2025,111,Teams,Positive,Yes,01-06-2025,23.1
INT0246,CLT033,Anna Ramsey,EMP052,Anthony Hernandez,Social Media,13-04-2026,82,Zoom,Positive,Yes,20-04-2026,14.7
INT0247,CLT013,Lynn Pace,EMP008,Brian Tate,Call,25-04-2026,68,Zoom,Neutral,Yes,02-05-2026,51
INT0248,CLT018,William Hanna,EMP048,Sherri Thompson,Social Media,26-11-2025,60,Zoom,Negative,No,,3.2
INT0249,CLT024,Patrick Gregory,EMP063,Edward Odonnell,Meeting,05-12-2025,70,In-person,Neutral,No,,12.6
INT0250,CLT017,Lawrence Mendoza,EMP096,Sarah Smith,Demo,08-07-2025,13,Phone,Positive,Yes,15-07-2025,12.6
INT0251,CLT037,Latasha Gonzalez,EMP100,Michael Hurley,Meeting,12-10-2025,92,Teams,Negative,Yes,19-10-2025,15.7
INT0252,CLT027,Natalie Hopkins,EMP066,Mr. Jason Robinson MD,Call,22-08-2025,70,Teams,Negative,Yes,29-08-2025,13.3
INT0253,CLT001,Carlos Durham,EMP029,Jose Smith,Social Media,21-07-2025,113,In-person,Negative,No,,69.7
INT0254,CLT018,Andrew Young,EMP055,Michael Scott,Demo,16-02-2026,68,In-person,Positive,No,,34.1
INT0255,CLT034,Roger Wilson,EMP080,Eric Barrett,Social Media,14-03-2026,23,Zoom,Negative,No,,72
INT0256,CLT024,Daniel Harris,EMP072,Kelsey Larson,Demo,02-04-2026,97,Zoom,Neutral,No,,5.5
INT0257,CLT018,Brandon Roberts,EMP082,Jeffrey Mccormick,Demo,23-03-2026,43,In-person,Positive,No,,11.6
INT0258,CLT016,Brian Carpenter,EMP008,Brian Tate,Demo,23-07-2025,97,Teams,Negative,No,,2.8
INT0259,CLT032,Paul Haas,EMP038,Diana Carlson,Email,14-01-2026,61,Phone,Negative,No,,3.5
INT0260,CLT037,Mary Pierce DDS,EMP025,Leslie Novak,Meeting,15-06-2025,97,Phone,Negative,No,,26.5
INT0261,CLT020,Jessica Ward,EMP022,Lucas Franklin,Demo,06-06-2025,22,Phone,Positive,Yes,13-06-2025,53.6
INT0262,CLT036,Rhonda Pratt,EMP098,Chelsea Munoz,Demo,09-10-2025,93,Zoom,Positive,Yes,16-10-2025,26.2
INT0263,CLT020,Julie Brown,EMP054,Deborah Martinez,Demo,05-01-2026,43,In-person,Neutral,No,,61.4
INT0264,CLT031,Joan Ellis,EMP007,Grace Avery,Email,17-12-2025,34,Zoom,Negative,Yes,24-12-2025,28.1
INT0265,CLT020,Erica Sparks,EMP053,Jeremy Howard,Meeting,22-06-2025,27,Teams,Neutral,Yes,29-06-2025,30.1
INT0266,CLT037,Tina Barker MD,EMP059,David Figueroa,Demo,23-11-2025,120,Teams,Positive,Yes,30-11-2025,35.6
INT0267,CLT012,Arthur Smith,EMP041,Ashley Burke,Call,09-02-2026,67,In-person,Positive,Yes,16-02-2026,55
INT0268,CLT011,Isabella Hogan,EMP074,Melissa Robles,Email,17-01-2026,110,Zoom,Positive,Yes,24-01-2026,44.6
INT0269,CLT028,Kim Camacho,EMP052,Anthony Hernandez,Email,16-02-2026,59,Zoom,Positive,No,,38.9
INT0270,CLT024,Debra Adams,EMP002,Thomas Thomas,Social Media,22-06-2025,34,Zoom,Negative,No,,1.3
INT0271,CLT016,Deborah Oneill,EMP029,Jose Smith,Demo,13-06-2025,26,Zoom,Neutral,No,,36.7
INT0272,CLT020,Lance Villarreal,EMP022,Lucas Franklin,Call,14-09-2025,48,In-person,Neutral,Yes,21-09-2025,52.7
INT0273,CLT039,Rachel Turner,EMP068,Rebecca Harrison,Email,22-08-2025,97,Teams,Neutral,No,,71.7
INT0274,CLT032,Elizabeth Warren,EMP046,Teresa Price,Meeting,21-12-2025,113,Phone,Positive,Yes,28-12-2025,17.2
INT0275,CLT009,Kaitlyn Olson,EMP028,Justin Lee,Social Media,12-09-2025,74,Teams,Positive,Yes,19-09-2025,27
INT0276,CLT003,Jeffery Cox,EMP049,Jason Tran,Social Media,09-12-2025,89,Zoom,Negative,No,,71.6
INT0277,CLT007,Judy Simmons,EMP084,Steven Ryan,Call,28-04-2026,98,Zoom,Neutral,Yes,05-05-2026,32.5
INT0278,CLT008,Elizabeth Berger,EMP071,Paul Bailey,Email,30-08-2025,99,Teams,Positive,No,,50.4
INT0279,CLT001,Matthew Stanton,EMP039,Gloria Colon,Call,03-05-2026,94,In-person,Negative,No,,44
INT0280,CLT009,Christian Hammond,EMP054,Deborah Martinez,Social Media,26-04-2026,102,Zoom,Neutral,Yes,03-05-2026,9.1
INT0281,CLT007,Rachel Daniels,EMP064,Brian Martinez,Social Media,01-11-2025,35,In-person,Negative,Yes,08-11-2025,70.1
INT0282,CLT023,Lisa Watson,EMP091,Alexandra Kirk,Demo,06-09-2025,30,Zoom,Negative,No,,36.2
INT0283,CLT014,Stephen Hart,EMP089,Steven Morales,Demo,20-04-2026,40,Zoom,Positive,No,,48.7
INT0284,CLT008,Brandon Barton,EMP074,Melissa Robles,Meeting,12-09-2025,21,Zoom,Negative,No,,52.4
INT0285,CLT017,Richard Jackson,EMP083,Dr. Mark Harris DVM,Email,15-07-2025,47,In-person,Neutral,Yes,22-07-2025,4.6
INT0286,CLT012,Tammy Stevens,EMP006,Donna Carlson,Demo,26-06-2025,112,In-person,Neutral,No,,53.4
INT0287,CLT007,Sarah Ferguson,EMP098,Chelsea Munoz,Call,15-12-2025,119,Teams,Negative,Yes,22-12-2025,47
INT0288,CLT022,Jessica Serrano,EMP046,Teresa Price,Social Media,18-12-2025,44,Zoom,Neutral,No,,58.9
INT0289,CLT012,Michael Bryant,EMP015,Rhonda Bennett,Email,11-01-2026,68,In-person,Neutral,No,,50
INT0290,CLT031,James Montoya,EMP054,Deborah Martinez,Call,29-03-2026,26,Zoom,Positive,Yes,05-04-2026,8.4
INT0291,CLT038,Henry Baker,EMP062,Micheal Hansen DVM,Meeting,21-08-2025,88,Phone,Neutral,No,,44.4
INT0292,CLT009,Bradley Ross,EMP062,Micheal Hansen DVM,Call,05-08-2025,62,Phone,Positive,No,,5.5
INT0293,CLT021,Vanessa Carter,EMP002,Thomas Thomas,Demo,03-02-2026,76,Zoom,Neutral,Yes,10-02-2026,48
INT0294,CLT016,Andrea Christensen,EMP062,Micheal Hansen DVM,Email,19-01-2026,29,Zoom,Positive,No,,46.7
INT0295,CLT011,Melanie Schwartz,EMP065,Brent Allen,Email,26-11-2025,31,Zoom,Neutral,No,,23.8
INT0296,CLT022,Kristin Carpenter,EMP036,Deanna Marsh,Social Media,16-03-2026,38,Phone,Neutral,Yes,23-03-2026,59
INT0297,CLT006,Troy Hernandez,EMP059,David Figueroa,Social Media,25-06-2025,67,Zoom,Neutral,No,,32.7
INT0298,CLT008,Sydney Taylor,EMP064,Brian Martinez,Call,12-12-2025,61,Phone,Positive,Yes,19-12-2025,40.6
INT0299,CLT001,Kathryn Murphy,EMP012,James Gregory,Social Media,09-10-2025,81,Teams,Negative,No,,48.7
INT0300,CLT022,Michael Kent,EMP047,Nicole Hernandez,Meeting,23-10-2025,118,Phone,Neutral,Yes,30-10-2025,40.8
